Temp dt vW method ef wd lg_ef t season4 h_sin h_cos t_sin t_cos dW_sin dW_cos
13.175 01NOV2016:11:00:00 2.13421436 4 0.6378356620000001 W -0.44967461200000003 11 2 0.258819045102521 -0.9659258262890682 0.0 1.0 -0.9999992295493642 0.0012413302051008034
12.1 01NOV2016:12:00:00 2.63644205 4 1.02584536 W 0.025517014100000002 12 2 1.2246467991473532e-16 -1.0 0.0 1.0 -0.8878516548972111 0.4601298065723232
11.891666699999998 01NOV2016:13:00:00 3.60263786 4 1.53675587 W 0.42967361649999997 13 2 -0.25881904510252035 -0.9659258262890684 0.0 1.0 -0.7235794047963832 0.6902411498559846
11.833333300000001 01NOV2016:14:00:00 2.99472423 4 2.53052989 W 0.9284287234999999 14 2 -0.4999999999999997 -0.8660254037844388 0.0 1.0 -0.7193824514811109 0.6946142011944667
11.166666699999999 01NOV2016:15:00:00 2.94726638 4 1.54322496 W 0.4338743567 15 2 -0.7071067811865471 -0.7071067811865479 0.0 1.0 -0.7788619347076167 0.6271954134586033
9.83333333 01NOV2016:16:00:00 2.41992045 4 2.04698366 W 0.7163673242 16 2 -0.8660254037844384 -0.5000000000000004 0.0 1.0 -0.835303932538667 0.5497884504838548
8.83333333 01NOV2016:17:00:00 1.94384865 4 1.80627311 W 0.5912656673 17 2 -0.9659258262890681 -0.2588190451025215 0.0 1.0 -0.9402359027500699 0.34052378357430657
8.58333333 01NOV2016:18:00:00 2.06357468 4 1.73765227 W 0.552534932 18 2 -1.0 -1.8369701987210297e-16 0.0 1.0 -0.9751774384104708 0.22142484868503912
8.25 01NOV2016:19:00:00 2.08805473 4 1.12756468 W 0.1200601566 19 2 -0.9659258262890684 0.2588190451025203 0.0 1.0 -0.9572959917784102 0.28910964031832304
8.66666667 01NOV2016:20:00:00 2.42002524 4 1.36897158 W 0.3140597864 20 2 -0.866025403784439 0.49999999999999933 0.0 1.0 -0.9553442660046756 0.2954950649536938
8.16666667 01NOV2016:21:00:00 2.40838032 4 1.19798994 W 0.1806451023 21 2 -0.7071067811865477 0.7071067811865474 0.0 1.0 -0.9784523080400311 0.20647295438176916
7.5 01NOV2016:22:00:00 2.1811361000000002 4 1.33951672 W 0.2923088922 22 2 -0.5000000000000004 0.8660254037844384 0.0 1.0 -0.9811667957390647 0.19316241595904865
7.33333333 01NOV2016:23:00:00 2.1079263999999998 4 1.25378657 W 0.2261682284 23 2 -0.25881904510252157 0.9659258262890681 0.0 1.0 -0.9997364736903911 -0.02295611406797709
7.16666667 02NOV2016:00:00:00 2.32896522 4 1.15801378 W 0.14670627890000001 24 2 0.0 1.0 0.017201575418260506 0.9998520419557735 -0.9993810035924785 -0.03517967678206516
7.08333333 02NOV2016:01:00:00 2.29722245 4 0.999244228 W -0.000756058 25 2 0.25881904510252074 0.9659258262890683 0.017201575418260506 0.9998520419557735 -0.9986402748190766 -0.05213061969015248
7.41666667 02NOV2016:02:00:00 2.49721032 4 0.563384308 W -0.573793276 26 2 0.49999999999999994 0.8660254037844387 0.017201575418260506 0.9998520419557735 -0.9999998244382634 -0.0005925566996675275
7.33333333 02NOV2016:03:00:00 2.38606731 4 0.618450971 W -0.480537361 27 2 0.7071067811865475 0.7071067811865476 0.017201575418260506 0.9998520419557735 -0.9880815565794151 -0.15393127540431867
7.5 02NOV2016:04:00:00 2.43273329 4 0.706187589 W -0.34787437 28 2 0.8660254037844386 0.5000000000000001 0.017201575418260506 0.9998520419557735 -0.9838141367512879 -0.17919192037677986
7.5 02NOV2016:05:00:00 2.34479987 4 0.561728166 W -0.576737236 29 2 0.9659258262890682 0.25881904510252096 0.017201575418260506 0.9998520419557735 -0.980723451479254 -0.19540089999439442
7.33333333 02NOV2016:06:00:00 3.07395772 4 0.683491003 W -0.380541786 30 2 1.0 6.123233995736766e-17 0.017201575418260506 0.9998520419557735 -0.9992122188151796 -0.039685536035759646
7.41666667 02NOV2016:07:00:00 2.89998722 4 0.7632850729999999 W -0.270123696 31 2 0.9659258262890683 -0.25881904510252063 0.017201575418260506 0.9998520419557735 -0.9962727480368921 0.08625897935298785
7.16666667 02NOV2016:08:00:00 3.16997727 4 0.8372551020000001 W -0.17762647399999998 32 2 0.8660254037844387 -0.4999999999999998 0.017201575418260506 0.9998520419557735 -0.8509370607194316 0.5252676638573655
7.41666667 02NOV2016:09:00:00 3.23800833 4 0.446772569 W -0.805705608 33 2 0.7071067811865476 -0.7071067811865475 0.017201575418260506 0.9998520419557735 -0.7766953423468398 0.6298764523116619
8.58333333 02NOV2016:10:00:00 2.80016698 4 0.262049315 W -1.339222568 34 2 0.5000000000000003 -0.8660254037844385 0.017201575418260506 0.9998520419557735 -0.6632013580021955 0.7484410188812768
9.41666667 02NOV2016:11:00:00 3.71348561 4 0.428758564 W -0.846861306 35 2 0.258819045102521 -0.9659258262890682 0.017201575418260506 0.9998520419557735 -0.6413604661717621 0.767239696856165
9.25 02NOV2016:12:00:00 4.92930995 4 0.408380553 W -0.8955558109999999 36 2 1.2246467991473532e-16 -1.0 0.017201575418260506 0.9998520419557735 -0.5625716397703872 0.8267485410486418
8.16666667 02NOV2016:13:00:00 5.23992956 4 0.409834156 W -0.8920026990000001 37 2 -0.25881904510252035 -0.9659258262890684 0.017201575418260506 0.9998520419557735 -0.513427144933703 0.8581331871249511
7.75 02NOV2016:14:00:00 5.25774628 4 0.254386409 W -1.368900873 38 2 -0.4999999999999997 -0.8660254037844388 0.017201575418260506 0.9998520419557735 -0.46985013631932965 0.8827461976132819
