Temp	date	dt	vW	dW	method	ef	aer	wd	lg_aer	lg_ef	season1	season2	season3	h	t	season4
-3.41666667	09FEB2017	09FEB2017:21:00:00	0.89757318	103.250941	4	0.881812619	598.11521	E	6.3937833943	-0.125775696	W	W	W	21	2421	3
-3.41666667	13FEB2017	13FEB2017:07:00:00	0.614165136	102.637384	1	1.11121262	498.42276538	E	6.2114486434	0.1054518695	W	W	W	7	2503	3
-3.41666667	13FEB2017	13FEB2017:07:00:00	0.614165136	102.637384	4	0.891933865	568.03488308	E	6.3421828307	-0.114363292	W	W	W	7	2503	3
-3.33333333	06JAN2017	06JAN2017:20:00:00	1.74841127	161.505412	1	0.97485784	542.20520231	S	6.2956445318	-0.025463624	W	W	W	20	1604	3
-3.33333333	06JAN2017	06JAN2017:20:00:00	1.74841127	161.505412	4	0.981235916	538.57166077	S	6.2889205625	-0.018942363	W	W	W	20	1604	3
-3.33333333	29JAN2017	29JAN2017:00:00:00	1.7934011	156.756164	1	0.7022416	1952.8952385	S	7.5770682881	-0.353477775	W	W	W	0	2136	3
-3.33333333	29JAN2017	29JAN2017:00:00:00	1.7934011	156.756164	4	0.47757427	3064.8640615	S	8.0277584955	-0.739035592	W	W	W	0	2136	3
-3.25	09FEB2017	09FEB2017:22:00:00	0.194840162	57.0433505	1	0.84315638	837.4184	N	6.7303238261	-0.170602834	W	W	W	22	2422	3
-3.25	09FEB2017	09FEB2017:22:00:00	0.194840162	57.0433505	4	0.9254327	787.82981538	N	6.6692820962	-0.077493867	W	W	W	22	2422	3
-3.25	13FEB2017	13FEB2017:17:00:00	0.555608419	100.362359	1	1.19581091	692.80923538	E	6.5407546877	0.178824541	W	W	W	17	2513	3
-3.25	13FEB2017	13FEB2017:17:00:00	0.555608419	100.362359	4	0.971387014	1266.2689769	E	7.1438300422	-0.029030317	W	W	W	17	2513	3
-3.25	14FEB2017	14FEB2017:06:00:00	1.78966516	125.00295	1	1.33967529	689.91911923	E	6.5365743722	0.2924272637	W	W	W	6	2526	3
-3.25	14FEB2017	14FEB2017:06:00:00	1.78966516	125.00295	4	0.959562873	630.35233231	E	6.4462789207	-0.041277439	W	W	W	6	2526	3
-3.16666667	06JAN2017	06JAN2017:04:00:00	0.619243314	314.830896	1	1.01084614	484.67370154	W	6.1834758842	0.0107877425	W	W	W	4	1588	3
-3.16666667	06JAN2017	06JAN2017:04:00:00	0.619243314	314.830896	4	0.782609147	514.10857538	W	6.2424344793	-0.245121881	W	W	W	4	1588	3
-3.16666667	28JAN2017	28JAN2017:23:00:00	2.44089231	148.080186	1	0.97861292	3401.8358615	E	8.1320705242	-0.021619098	W	W	W	23	2135	3
-3.16666667	28JAN2017	28JAN2017:23:00:00	2.44089231	148.080186	4	0.632126484	3102.1922846	E	8.0398643291	-0.458665772	W	W	W	23	2135	3
-3.08333333	07JAN2017	07JAN2017:03:00:00	3.42087482	172.398978	1	0.76539388	886.88261538	S	6.7877126346	-0.267364702	W	W	W	3	1611	3
-3.08333333	07JAN2017	07JAN2017:03:00:00	3.42087482	172.398978	4	0.658665655	872.24425385	S	6.7710694923	-0.417539225	W	W	W	3	1611	3
-3.08333333	07JAN2017	07JAN2017:04:00:00	3.97286523	173.595767	1	0.76622753	887.84857692	S	6.788801207	-0.266276117	W	W	W	4	1612	3
-3.08333333	07JAN2017	07JAN2017:04:00:00	3.97286523	173.595767	4	0.636937955	916.18416923	S	6.8202174026	-0.45108303	W	W	W	4	1612	3
-3.08333333	29JAN2017	29JAN2017:01:00:00	2.13708388	159.326575	1	0.85236029	1693.1193308	S	7.4343278645	-0.159745966	W	W	W	1	2137	3
-3.08333333	29JAN2017	29JAN2017:01:00:00	2.13708388	159.326575	4	0.508376964	2650.8156692	S	7.8826226713	-0.676532051	W	W	W	1	2137	3
-3.08333333	10FEB2017	10FEB2017:09:00:00	1.58177968	112.753804	1	0.65042111	1291.9895231	E	7.1639385752	-0.430135264	W	W	W	9	2433	3
-3.08333333	10FEB2017	10FEB2017:09:00:00	1.58177968	112.753804	4	0.660583948	1312.1768615	E	7.1794427634	-0.414631065	W	W	W	9	2433	3
-3.08333333	14FEB2017	14FEB2017:08:00:00	1.63203454	120.662144	1	0.79725189	1385.6960231	E	7.2339578361	-0.226584602	W	W	W	8	2528	3
